agency,agency_type,census_geo_type,census_match_name,pop_total,pop_white,pop_black,pop_hispanic
Adair County Sheriff's Dept,county_sheriff,county,"Adair County, Missouri",25301,22028,1123,755
Adrian Police Dept,municipal_police,place,"Adrian city, Missouri",1857,1650,15,62
Advance Police Dept,municipal_police,place,"Advance city, Missouri",1450,1351,18,10
Alma Police Dept,municipal_police,place,"Alma city, Missouri",450,428,0,2
Alton Police Dept,municipal_police,place,"Alton city, Missouri",744,619,7,26
Anderson Police Dept,municipal_police,place,"Anderson city, Missouri",2685,1687,0,464
Andrew County Sheriff's Dept,county_sheriff,county,"Andrew County, Missouri",18065,16698,242,470
Annapolis Police Dept,municipal_police,place,"Annapolis city, Missouri",427,398,8,14
Appleton City Police Dept,municipal_police,place,"Appleton City city, Missouri",1221,1130,18,48
Arbyrd Police Dept,municipal_police,place,"Arbyrd city, Missouri",432,287,0,79
Arcadia Police Dept,municipal_police,place,"Arcadia city, Missouri",586,556,2,0
Archie Police Dept,municipal_police,place,"Archie city, Missouri",1322,1177,10,24
Arnold Police Dept,municipal_police,place,"Arnold city, Missouri",20956,18451,52,548
Ash Grove Police Dept,municipal_police,place,"Ash Grove city, Missouri",1333,1261,5,1
Ashland Police Dept,municipal_police,place,"Ashland city, Missouri",4914,4436,50,161
Atchison County Sheriff's Dept,county_sheriff,county,"Atchison County, Missouri",5187,4804,11,107
Audrain County Sheriff's Dept,county_sheriff,county,"Audrain County, Missouri",24548,21403,1091,786
Aurora Police Dept,municipal_police,place,"Aurora city, Missouri",7397,6642,19,496
Auxvasse Police Dept,municipal_police,place,"Auxvasse city, Missouri",1452,1364,3,4
Ava Police Dept,municipal_police,place,"Ava city, Missouri",3045,2947,53,16
Ballwin Police Dept,municipal_police,place,"Ballwin city, Missouri",31279,23448,877,1295
Barry County Sheriff's Dept,county_sheriff,county,"Barry County, Missouri",35033,28092,70,3564
Barton County Sheriff's Dept,county_sheriff,county,"Barton County, Missouri",11690,10509,27,357
Bates City Police Dept,municipal_police,place,"Bates City city, Missouri",162,156,0,0
Bates County Sheriff's Dept,county_sheriff,county,"Bates County, Missouri",16186,14845,346,416
Battlefield Police Dept,municipal_police,place,"Battlefield city, Missouri",6165,5493,15,274
Bella Villa Police Dept,municipal_police,place,"Bella Villa city, Missouri",691,608,19,33
Belle Police Dept,municipal_police,place,"Belle city, Missouri",1246,1148,0,40
Bellefontaine Neighbors Police Dept,municipal_police,place,"Bellefontaine Neighbors city, Missouri",10498,1160,8834,29
Bellflower Police Dept,municipal_police,place,"Bellflower city, Missouri",238,225,0,3
Belton Police Dept,municipal_police,place,"Belton city, Missouri",25008,19142,2050,1927
Benton County Sheriff's Dept,county_sheriff,county,"Benton County, Missouri",20151,18460,193,411
Benton Police Dept,municipal_police,place,"Benton city, Missouri",826,744,32,10
Berger Police Dept,municipal_police,place,"Berger city, Missouri",169,143,3,3
Berkeley Police Dept,municipal_police,place,"Berkeley city, Missouri",8123,673,6416,613
Bernie Police Dept,municipal_police,place,"Bernie city, Missouri",1725,1562,17,52
Bertrand Police Dept,municipal_police,place,"Bertrand city, Missouri",732,579,19,42
Bethany Police Dept,municipal_police,place,"Bethany city, Missouri",3080,2948,52,0
Beverly Hills Police Dept,municipal_police,place,"Beverly Hills city, Missouri",488,5,478,0
Billings Police Dept,municipal_police,place,"Billings city, Missouri",844,723,0,55
Birch Tree Police Dept,municipal_police,place,"Birch Tree city, Missouri",402,348,0,0
Bismarck Police Dept,municipal_police,place,"Bismarck city, Missouri",1508,1333,1,40
Bland Police Dept,municipal_police,place,"Bland city, Missouri",476,433,0,10
Bloomfield Police Dept,municipal_police,place,"Bloomfield city, Missouri",2069,1973,16,3
Blue Springs Police Dept,municipal_police,place,"Blue Springs city, Missouri",59965,46879,4797,3712
Bolivar Police Dept,municipal_police,place,"Bolivar city, Missouri",11170,10211,97,406
Bollinger County Sheriff's Dept,county_sheriff,county,"Bollinger County, Missouri",10559,9893,89,175
Bonne Terre Police Dept,municipal_police,place,"Bonne Terre city, Missouri",6683,5113,740,165
Boone County Sheriff's Dept,county_sheriff,county,"Boone County, Missouri",188043,142496,17873,8454
Boonville Police Dept,municipal_police,place,"Boonville city, Missouri",7689,6376,709,221
Bourbon-Dept of Public Safety,municipal_police,place,"Bourbon city, Missouri",1636,1269,0,123
Bowling Green Police Dept,municipal_police,place,"Bowling Green city, Missouri",4170,3523,322,117
Branson Police Dept,municipal_police,place,"Branson city, Missouri",12817,10272,691,871
Branson West Police Dept,municipal_police,place,"Branson West city, Missouri",536,486,3,0
Braymer Police Dept,municipal_police,place,"Braymer city, Missouri",795,751,8,2
Breckenridge Hills Police Dept,municipal_police,place,"Breckenridge Hills city, Missouri",4402,2057,806,970
Brentwood Police Dept,municipal_police,place,"Brentwood city, Missouri",8144,6344,238,116
Bridgeton Police Dept,municipal_police,place,"Bridgeton city, Missouri",11369,6346,2697,1572
Brookfield Police Dept,municipal_police,place,"Brookfield city, Missouri",4144,3797,34,168
Brunswick Police Dept,municipal_police,place,"Brunswick city, Missouri",859,719,53,52
Buchanan County Sheriff's Dept,county_sheriff,county,"Buchanan County, Missouri",83568,66629,4685,6318
Buckner Police Dept,municipal_police,place,"Buckner city, Missouri",2914,2587,29,143
Buffalo Police Dept,municipal_police,place,"Buffalo city, Missouri",3417,3190,8,129
Butler County Sheriff's Dept,county_sheriff,county,"Butler County, Missouri",42020,36091,1978,1035
Butler Police Dept,municipal_police,place,"Butler city, Missouri",4668,3972,310,179
Butterfield Police Dept,municipal_police,place,"Butterfield city, Missouri",370,261,0,65
Byrnes Mill Police Dept,municipal_police,place,"Byrnes Mill city, Missouri",3189,2725,60,14
Cabool Police Dept,municipal_police,place,"Cabool city, Missouri",2348,2042,6,85
Caldwell County Sheriff's Dept,county_sheriff,county,"Caldwell County, Missouri",8927,8213,107,203
Callaway County Sheriff's Dept,county_sheriff,county,"Callaway County, Missouri",44741,39393,1672,1098
Calverton Park Police Dept,municipal_police,place,"Calverton Park city, Missouri",1546,459,800,47
Camden County Sheriff's Dept,county_sheriff,county,"Camden County, Missouri",43667,40223,381,1526
Camden Police Dept,municipal_police,place,"Camden city, Missouri",135,126,0,5
Camdenton Police Dept,municipal_police,place,"Camdenton city, Missouri",4023,3404,109,443
Cameron Police Dept,municipal_police,place,"Cameron city, Missouri",8519,7318,615,272
Campbell Police Dept,municipal_police,place,"Campbell city, Missouri",1766,1339,8,66
Canalou Police Dept,municipal_police,place,"Canalou city, Missouri",177,120,0,0
Canton Police Dept,municipal_police,place,"Canton city, Missouri",2752,2248,220,89
Cape Girardeau Co Sheriff's Dept,county_sheriff,county,"Cape Girardeau County, Missouri",82735,69142,6109,2439
Cape Girardeau Police Dept,municipal_police,place,"Cape Girardeau city, Missouri",40344,30356,5313,1502
Cardwell Police Dept,municipal_police,place,"Cardwell city, Missouri",816,648,0,62
Carl Junction Police Dept,municipal_police,place,"Carl Junction city, Missouri",8339,7660,0,315
Carroll County Sheriff's Dept,county_sheriff,county,"Carroll County, Missouri",8411,7850,127,187
Carrollton Police Dept,municipal_police,place,"Carrollton city, Missouri",3145,2864,46,138
Carter County Sheriff's Dept,county_sheriff,county,"Carter County, Missouri",5297,4903,22,121
Carterville Police Dept,municipal_police,place,"Carterville city, Missouri",2074,1700,0,189
Carthage Police Dept,municipal_police,place,"Carthage city, Missouri",15574,9295,223,5378
Caruthersville Police Dept,municipal_police,place,"Caruthersville city, Missouri",5326,3523,1435,182
Cass County Sheriff's Dept,county_sheriff,county,"Cass County, Missouri",110773,92652,5052,6083
Cassville Police Dept,municipal_police,place,"Cassville city, Missouri",3202,2967,0,57
Cedar County Sheriff's Dept,county_sheriff,county,"Cedar County, Missouri",14615,13461,72,320
Center Police Dept,municipal_police,place,"Center city, Missouri",537,501,8,20
Centralia Police Dept,municipal_police,place,"Centralia city, Missouri",4690,4060,5,161
Chaffee Police Dept,municipal_police,place,"Chaffee city, Missouri",3026,2793,7,35
Chariton County Sheriff's Dept,county_sheriff,county,"Chariton County, Missouri",7390,6852,138,111
Charleston Police Dept,municipal_police,place,"Charleston city, Missouri",4482,1940,2028,36
Chesterfield Police Dept,municipal_police,place,"Chesterfield city, Missouri",49574,36471,1903,1634
Chillicothe Police Dept,municipal_police,place,"Chillicothe city, Missouri",8923,7778,434,233
Christian County Sheriff's Dept,county_sheriff,county,"Christian County, Missouri",92915,83999,653,3505
City of Bellerive Acres,municipal_police,place,"Bellefontaine Neighbors city, Missouri",10498,1160,8834,29
City of Bellerive Acres Police Dept,municipal_police,place,"Bellerive Acres city, Missouri",288,120,160,0
City of California Police Dept,municipal_police,place,"California city, Missouri",4509,3675,29,610
City of Oakland Police Dept,municipal_police,place,"Oakland city, Missouri",1562,1439,20,49
Clarence Police Dept,municipal_police,place,"Clarence city, Missouri",862,753,22,35
Clark County Sheriff's Dept,county_sheriff,county,"Clark County, Missouri",6675,6334,127,65
Clark Police Dept,municipal_police,place,"Clark city, Missouri",200,172,3,0
Clarkton Police Dept,municipal_police,place,"Clarkton city, Missouri",958,469,50,312
Clay County Parks Dept,park_ranger,county,"Clay County, Missouri",258122,198705,17626,20621
Clay County Sheriff's Dept,county_sheriff,county,"Clay County, Missouri",258122,198705,17626,20621
Clayton Police Dept,municipal_police,place,"Clayton city, Missouri",17380,11572,1510,644
Cleveland Police Dept,municipal_police,place,"Cleveland city, Missouri",968,852,2,101
Clever Police Dept,municipal_police,place,"Clever city, Missouri",3030,2829,0,24
Clinton County Sheriff's Dept,county_sheriff,county,"Clinton County, Missouri",21414,19680,169,567
Clinton Police Dept,municipal_police,place,"Clinton city, Missouri",9065,8193,150,148
Cole Camp Police Dept,municipal_police,place,"Cole Camp city, Missouri",1436,1409,18,0
Cole County Sheriff's Dept,county_sheriff,county,"Cole County, Missouri",77032,61045,7484,2807
Columbia Police Dept,municipal_police,place,"Columbia city, Missouri",128548,92127,15524,5680
Concordia Police Dept,municipal_police,place,"Concordia city, Missouri",2332,2126,11,116
Cool Valley Police Dept,municipal_police,place,"Cool Valley city, Missouri",1411,103,1256,21
Cooper County Sheriff's Dept,county_sheriff,county,"Cooper County, Missouri",16824,14773,943,361
Corder Police Dept,municipal_police,place,"Corder city, Missouri",442,417,0,0
Cottleville Police Dept,municipal_police,place,"Cottleville city, Missouri",5937,4787,423,205
Country Club Hills Police Dept,municipal_police,place,"Country Club Hills city, Missouri",854,55,758,0
Country Club Village Police Dept,municipal_police,place,"Country Club village, Missouri",2935,2600,54,205
Crane Police Dept,municipal_police,place,"Crane city, Missouri",1760,1638,26,29
Crawford County Sheriff's Dept,county_sheriff,county,"Crawford County, Missouri",22797,20943,177,552
Crestwood Police Dept,municipal_police,place,"Crestwood city, Missouri",12295,11215,303,278
Creve Coeur Police Dept,municipal_police,place,"Creve Coeur city, Missouri",18643,12819,1577,440
Crocker Police Dept,municipal_police,place,"Crocker city, Missouri",1024,936,0,49
Crystal City Police Dept,municipal_police,place,"Crystal City city, Missouri",4718,3826,119,74
Crystal Lakes Police Dept,municipal_police,place,"Crystal Lakes city, Missouri",436,359,4,10
Cuba Police Dept,municipal_police,place,"Cuba city, Missouri",3189,2875,53,147
Dade County Sheriff's Dept,county_sheriff,county,"Dade County, Missouri",7641,7032,32,175
Dallas County Sheriff's Dept,county_sheriff,county,"Dallas County, Missouri",17551,16342,33,398
Dardenne Prairie Police Dept,municipal_police,place,"Dardenne Prairie city, Missouri",13503,11488,460,442
Daviess County Sheriff's Dept,county_sheriff,county,"Daviess County, Missouri",8477,8060,82,151
DeKalb County Sheriff's Dept,county_sheriff,county,"DeKalb County, Missouri",10876,9465,710,258
DeSoto Police Dept,municipal_police,place,"De Soto city, Missouri",6470,5490,16,70
Dellwood Police Dept,municipal_police,place,"Dellwood city, Missouri",4847,486,4142,11
Delta Police Dept,municipal_police,place,"Delta city, Missouri",532,527,0,0
Dent County Sheriff's Dept,county_sheriff,county,"Dent County, Missouri",14539,13239,61,324
Des Peres Police Dept,municipal_police,place,"Des Peres city, Missouri",9170,8333,59,205
Desloge Police Dept,municipal_police,place,"Desloge city, Missouri",4863,4641,18,143
Dexter Police Dept,municipal_police,place,"Dexter city, Missouri",7891,7235,32,338
Diamond Police Dept,municipal_police,place,"Diamond town, Missouri",914,753,12,86
Dixon Police Dept,municipal_police,place,"Dixon city, Missouri",1334,1263,0,13
Doniphan Police Dept,municipal_police,place,"Doniphan city, Missouri",2345,2018,11,110
Doolittle Police Dept,municipal_police,place,"Doolittle city, Missouri",561,508,1,13
Douglas County Sheriff's Dept,county_sheriff,county,"Douglas County, Missouri",11965,11051,108,280
Drexel Police Dept,municipal_police,place,"Drexel city, Missouri",924,820,0,35
Duenweg Police Dept,municipal_police,place,"Duenweg city, Missouri",1918,1485,37,150
Dunklin County Sheriff's Dept,county_sheriff,county,"Dunklin County, Missouri",27493,20218,1896,2107
East Lynne Police Dept,municipal_police,place,"East Lynne city, Missouri",155,140,0,0
East Prairie Police Dept,municipal_police,place,"East Prairie city, Missouri",2902,2646,33,0
Easton Police Dept,municipal_police,place,"Easton city, Missouri",336,329,0,2
Edgar Springs Police Dept,municipal_police,place,"Edgar Springs city, Missouri",224,180,17,2
Edgerton Police Dept,municipal_police,place,"Edgerton city, Missouri",518,478,4,5
Edina Police Dept,municipal_police,place,"Edina city, Missouri",1250,1187,12,8
Edmundson Police Dept,municipal_police,place,"Edmundson city, Missouri",975,366,425,94
El Dorado Springs Police Dept,municipal_police,place,"El Dorado Springs city, Missouri",3586,3298,33,102
Eldon Police Dept,municipal_police,place,"Eldon city, Missouri",4556,4282,9,92
Ellisville Police Dept,municipal_police,place,"Ellisville city, Missouri",10002,8121,69,808
Ellsinore Police Dept,municipal_police,place,"Ellsinore city, Missouri",678,573,0,73
Elsberry Police Dept,municipal_police,place,"Elsberry city, Missouri",1870,1706,50,18
Emma Police Dept,municipal_police,place,"Emma city, Missouri",270,251,0,3
Eureka Police Dept,municipal_police,place,"Eureka city, Missouri",13081,11195,105,392
Excelsior Springs Police Dept,municipal_police,place,"Excelsior Springs city, Missouri",10484,8516,342,929
Exeter Police Dept,municipal_police,place,"Exeter city, Missouri",819,758,0,34
Fair Grove Police Dept,municipal_police,place,"Fair Grove city, Missouri",1717,1531,8,8
Fair Play Police Dept,municipal_police,place,"Fair Play city, Missouri",595,562,0,2
Fairview Police Dept,municipal_police,place,"Fairview town, Missouri",371,244,0,73
Farber Police Dept,municipal_police,place,"Farber city, Missouri",272,256,3,0
Farmington Police Dept,municipal_police,place,"Farmington city, Missouri",18282,16168,951,306
Fayette Police Dept,municipal_police,place,"Fayette city, Missouri",2801,2201,369,63
Ferguson Police Dept,municipal_police,place,"Ferguson city, Missouri",18213,4706,12510,235
Festus Police Dept,municipal_police,place,"Festus city, Missouri",13201,11363,419,488
Fleming Police Dept,municipal_police,place,"Fleming city, Missouri",68,58,0,0
Flordell Hills Police Dept,municipal_police,place,"Flordell Hills city, Missouri",1195,40,1090,0
Florissant Police Dept,municipal_police,place,"Florissant city, Missouri",51773,23527,22732,1261
Foley Police Dept,municipal_police,place,"Foley city, Missouri",140,126,0,0
Fordland Police Dept,municipal_police,place,"Fordland city, Missouri",594,576,0,11
Foristell Police Dept,municipal_police,place,"Foristell city, Missouri",1096,1062,0,2
Forsyth Police Dept,municipal_police,place,"Forsyth city, Missouri",2766,2543,32,17
Frankford Police Dept,municipal_police,place,"Frankford city, Missouri",502,439,30,0
Franklin County Sheriff's Dept,county_sheriff,county,"Franklin County, Missouri",105950,93978,905,2461
Fredericktown Police Dept,municipal_police,place,"Fredericktown city, Missouri",4507,4253,32,127
Frontenac Police Dept,municipal_police,place,"Frontenac city, Missouri",3701,2806,127,44
Fulton Police Dept,municipal_police,place,"Fulton city, Missouri",12617,10591,1040,239
Galena Police Dept,municipal_police,place,"Galena city, Missouri",550,484,18,31
Gallatin Police Dept,municipal_police,place,"Gallatin city, Missouri",1740,1646,0,42
Garden City Police Dept,municipal_police,place,"Garden City city, Missouri",1742,1541,0,48
Gasconade County Sheriff's Dept,county_sheriff,county,"Gasconade County, Missouri",14746,13907,127,237
Gasconade Police Dept,municipal_police,place,"Gasconade city, Missouri",306,256,0,0
Gentry County Sheriff's Dept,county_sheriff,county,"Gentry County, Missouri",6245,5833,22,124
Gerald Police Dept,municipal_police,place,"Gerald city, Missouri",1368,1026,4,62
Gideon Police Dept,municipal_police,place,"Gideon city, Missouri",662,584,12,6
Gladstone Dept of Public Safety,municipal_police,place,"Gladstone city, Missouri",27207,20154,1914,2706
Glasgow Police Dept,municipal_police,place,"Glasgow city, Missouri",1118,923,122,37
Glen Echo Park Police Dept,municipal_police,place,"Glen Echo Park village, Missouri",101,31,70,0
Glendale Police Dept,municipal_police,place,"Glendale city, Missouri",6114,5658,0,138
Goodman Police Dept,municipal_police,place,"Goodman city, Missouri",1092,786,1,130
Gower Police Dept,municipal_police,place,"Gower city, Missouri",1799,1652,0,12
Grain Valley Police Dept,municipal_police,place,"Grain Valley city, Missouri",16271,13088,802,1556
Granby Police Dept,municipal_police,place,"Granby city, Missouri",2745,2420,7,60
Grandview Police Dept,municipal_police,place,"Grandview city, Missouri",26527,11935,8581,3787
Greene County Sheriff's Dept,county_sheriff,county,"Greene County, Missouri",303375,254936,9016,15605
Greenfield Police Dept,municipal_police,place,"Greenfield city, Missouri",1229,1097,20,61
Greenwood Police Dept,municipal_police,place,"Greenwood city, Missouri",6013,5102,232,299
Grundy County Sheriff's Dept,county_sheriff,county,"Grundy County, Missouri",9787,9012,44,273
Hallsville Police Dept,municipal_police,place,"Hallsville city, Missouri",1927,1661,80,68
Hamilton Police Dept,municipal_police,place,"Hamilton city, Missouri",1755,1640,0,77
Hannibal Police Dept,municipal_police,place,"Hannibal city, Missouri",16771,14643,963,460
Hardin Police Dept,municipal_police,place,"Hardin city, Missouri",681,624,2,17
Harrison County Sheriff's Dept,county_sheriff,county,"Harrison County, Missouri",8190,7684,64,68
Harrisonville Police Dept,municipal_police,place,"Harrisonville city, Missouri",9970,9215,44,272
Hartville Police Dept,municipal_police,place,"Hartville city, Missouri",610,520,12,2
Hawk Point Police Dept,municipal_police,place,"Hawk Point city, Missouri",736,607,93,10
Hayti Police Dept,municipal_police,place,"Hayti city, Missouri",2090,975,1004,0
Hazelwood Police Dept,municipal_police,place,"Hazelwood city, Missouri",25114,11229,10181,985
Henrietta Police Dept,municipal_police,place,"Henrietta city, Missouri",390,305,44,14
Henry County Sheriff's Dept,county_sheriff,county,"Henry County, Missouri",22328,20389,169,675
Herculaneum Police Dept,municipal_police,place,"Herculaneum city, Missouri",5071,3925,365,196
Hermann Police Dept,municipal_police,place,"Hermann city, Missouri",2290,2120,118,0
Hickory County Sheriff's Dept,county_sheriff,county,"Hickory County, Missouri",8585,8015,7,157
Higginsville Police Dept,municipal_police,place,"Higginsville city, Missouri",4781,3984,209,201
High Hill Police Dept,municipal_police,place,"High Hill city, Missouri",238,226,0,0
Highlandville Police Dept,municipal_police,place,"Highlandville city, Missouri",950,853,16,3
Hillsboro Police Dept,municipal_police,place,"Hillsboro city, Missouri",3500,3125,58,86
Holcomb Police Dept,municipal_police,place,"Holcomb city, Missouri",666,480,0,23
Holden Police Dept,municipal_police,place,"Holden city, Missouri",1989,1732,6,108
Hollister Police Dept,municipal_police,place,"Hollister city, Missouri",4643,3889,4,658
Holt County Sheriff's Dept,county_sheriff,county,"Holt County, Missouri",4240,3956,18,79
Holts Summit Police Dept,municipal_police,place,"Holts Summit city, Missouri",4609,4172,116,103
Hornersville Police Dept,municipal_police,place,"Hornersville city, Missouri",531,489,0,32
Houston Police Dept,municipal_police,place,"Houston city, Missouri",2226,2000,24,60
Howard County Sheriff's Dept,county_sheriff,county,"Howard County, Missouri",10147,8742,561,229
Howardville Police Dept,municipal_police,place,"Howardville city, Missouri",179,8,119,2
Howell County Sheriff's Dept,county_sheriff,county,"Howell County, Missouri",40383,36940,194,1042
Humansville Police Dept,municipal_police,place,"Humansville city, Missouri",1058,763,15,198
Huntsville Police Dept,municipal_police,place,"Huntsville city, Missouri",1672,1492,39,65
Iberia Police Dept,municipal_police,place,"Iberia city, Missouri",661,650,2,0
Independence Police Dept,municipal_police,place,"Independence city, Missouri",121740,83395,12948,16198
Indian Point Police Dept,municipal_police,place,"Indian Point village, Missouri",387,353,0,11
Iron County Sheriff's Dept,county_sheriff,county,"Iron County, Missouri",9446,8662,48,210
Iron Mountain Lake Police Dept,municipal_police,place,"Iron Mountain Lake city, Missouri",781,754,1,4
Ironton Police Dept,municipal_police,place,"Ironton city, Missouri",1692,1550,12,44
Jackson County Sheriff's Dept,county_sheriff,county,"Jackson County, Missouri",719976,427242,158398,82126
Jackson Police Dept,municipal_police,place,"Jackson city, Missouri",15659,13728,404,629
Jasper County Sheriff's Dept,county_sheriff,county,"Jasper County, Missouri",124357,100192,2054,12221
Jasper Police Dept,municipal_police,place,"Jasper city, Missouri",808,729,0,11
Jefferson City Police Dept,municipal_police,place,"Jefferson City city, Missouri",42488,30343,6778,1683
Jefferson College Police Dept,university,place,"Hillsboro city, Missouri",3500,3125,58,86
Jefferson County Sheriff's Dept,county_sheriff,county,"Jefferson County, Missouri",229458,202967,2315,6066
Johnson County Sheriff's Dept,county_sheriff,county,"Johnson County, Missouri",54732,45821,2332,2821
Jonesburg Police Dept,municipal_police,place,"Jonesburg city, Missouri",806,723,9,32
Joplin Police Dept,municipal_police,place,"Joplin city, Missouri",52593,42720,1548,3334
Kahoka Police Dept,municipal_police,place,"Kahoka city, Missouri",2072,1973,43,25
Kansas City Police Dept,municipal_police,place,"Kansas City city, Missouri",510612,275904,128681,63633
Kearney Police Dept,municipal_police,place,"Kearney city, Missouri",10885,10242,12,206
Kennett Police Dept,municipal_police,place,"Kennett city, Missouri",10196,7818,1135,195
Kimberling City Police Dept,municipal_police,place,"Kimberling City city, Missouri",2476,2358,0,22
Kimmswick Police Dept,municipal_police,place,"Kimmswick city, Missouri",112,109,0,2
Kimmwsick Police Dept,municipal_police,place,"Kimmswick city, Missouri",112,109,0,2
Kingsville Police Dept,municipal_police,place,"Kingsville city, Missouri",360,303,10,7
Kirksville Police Dept,municipal_police,place,"Kirksville city, Missouri",17563,14562,1119,657
Kirkwood Police Dept,municipal_police,place,"Kirkwood city, Missouri",29363,23926,1294,787
Knob Noster Police Dept,municipal_police,place,"Knob Noster city, Missouri",2838,2319,246,28
Knox County Sheriff's Dept,county_sheriff,county,"Knox County, Missouri",3756,3561,24,11
La Grange Police Dept,municipal_police,place,"La Grange city, Missouri",1033,882,122,5
LaPlata Police Dept,municipal_police,place,"La Plata city, Missouri",1351,1288,0,0
Laclede County Sheriff's Dept,county_sheriff,county,"Laclede County, Missouri",36390,32903,209,1086
Laddonia Police Dept,municipal_police,place,"Laddonia city, Missouri",533,495,12,6
Ladue Police Dept,municipal_police,place,"Ladue city, Missouri",8940,7655,113,141
Lafayette County Sheriff's Dept,county_sheriff,county,"Lafayette County, Missouri",33115,29712,514,1155
Lake Lafayette Police Dept,municipal_police,place,"Lake Lafayette city, Missouri",237,213,14,0
Lake Lotawana Police Dept,municipal_police,place,"Lake Lotawana city, Missouri",2442,1939,11,229
Lake Ozark Police Dept,municipal_police,place,"Lake Ozark city, Missouri",2335,2143,90,45
Lake St Louis Police Dept,municipal_police,place,"Lake St. Louis city, Missouri",18066,15303,985,453
Lake Tapawingo Police Dept,municipal_police,place,"Lake Tapawingo city, Missouri",706,667,4,4
Lake Winnebago Police Dept,municipal_police,place,"Lake Winnebago city, Missouri",1773,1688,0,47
Lakeshire Police Dept,municipal_police,place,"Lakeshire city, Missouri",1396,1182,7,103
Lamar Police Dept,municipal_police,place,"Lamar city, Missouri",4284,3947,27,49
Lancaster Police Dept,municipal_police,place,"Lancaster city, Missouri",742,660,0,29
Lathrop Police Dept,municipal_police,place,"Lathrop city, Missouri",2560,2151,0,211
Laurie Police Dept,municipal_police,place,"Laurie city, Missouri",965,867,1,32
Lawrence County Sheriff's Dept,county_sheriff,county,"Lawrence County, Missouri",38593,33261,107,3263
Lawson Police Dept,municipal_police,place,"Lawson city, Missouri",2905,2766,0,44
Leadington Police Dept,municipal_police,place,"Leadington city, Missouri",901,796,2,11
Leadwood Police Dept,municipal_police,place,"Leadwood city, Missouri",1354,1312,0,0
Lebanon Police Dept,municipal_police,place,"Lebanon city, Missouri",15270,13902,81,625
Lee's Summit Police Dept,municipal_police,place,"Lee's Summit city, Missouri",103656,79967,9971,6369
Leeton Police Dept,municipal_police,place,"Leeton city, Missouri",660,630,0,20
Lewis County Sheriff's Dept,county_sheriff,county,"Lewis County, Missouri",9924,9084,383,111
Lexington Police Dept,municipal_police,place,"Lexington city, Missouri",4606,4045,60,490
Liberal Police Dept,municipal_police,place,"Liberal city, Missouri",747,663,0,20
Liberty Police Dept,municipal_police,place,"Liberty city, Missouri",30689,25685,1398,1539
