Year,Bates County Sheriff's Dept,Belton Police Dept,Blue Springs Police Dept,Buckner Police Dept,Butler Police Dept,Cameron Police Dept,Clay County Sheriff's Dept,Claycomo Police Dept,Clinton County Sheriff's Dept,Concordia Police Dept,Excelsior Springs Police Dept,Gladstone Dept of Public Safety,Grain Valley Police Dept,Grandview Police Dept,Greenwood Police Dept,Harrisonville Police Dept,Higginsville Police Dept,Independence Police Dept,Jackson County Sheriff's Dept,Johnson County Sheriff's Dept,Kansas City Police Dept,Kearney Police Dept,Knob Noster Police Dept,Lafayette County Sheriff's Dept,Lake Lotawana Police Dept,Lake Tapawingo Police Dept,Lee's Summit Police Dept,Lexington Police Dept,Liberty Police Dept,Lone Jack Police Dept,Marshall Police Dept,North Kansas City Police Dept,Oak Grove Police Dept,Odessa Police Dept,Peculiar Police Dept,Pettis County Sheriff's Dept,Platte City Police Dept,Platte County Sheriff's Dept,Pleasant Hill Police Dept,Pleasant Valley Police Dept,Randolph Police Dept,Ray County Sheriff's Dept,Raymore Police Dept,Raytown Police Dept,Richmond Police Dept,Riverside Dept of Public Safety,Saline County Sheriff's Dept,Sedalia Police Dept,Smithville Police Dept,Sugar Creek Police Dept,Sweet Springs Police Dept,Warrensburg Police Dept,Weatherby Lake Police Dept,Weston Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,44.7,69.1,102.1,142.6,100.0,71.6,134.1,84.1,60.0,50.0,113.9,99.0,64.2,107.0,112.9,105.3,59.3,102.7,117.2,111.0,81.7,80.9,112.5,146.8,64.1,84.7,92.6,90.3,104.3,130.7,102.4,91.8,81.0,223.1,124.4,170.0,72.3,115.3,135.0,88.2,106.1,212.5,64.0,57.5,101.5,73.8,59.4,83.3,110.9,151.1,41.7,143.7,87.2,65.4
2016,57.4,116.1,108.7,109.3,125.0,92.2,101.1,147.3,72.0,71.4,106.6,94.6,59.7,54.2,114.7,110.5,53.8,99.8,109.0,114.3,67.2,97.9,98.4,140.3,87.2,27.1,107.2,90.3,99.5,117.4,137.6,97.9,58.3,,155.6,150.0,83.2,128.5,95.0,88.6,,68.8,78.3,65.7,123.9,114.7,128.1,102.4,127.3,221.6,100.0,338.0,76.9,80.8
2017,38.3,121.9,136.2,98.1,91.7,97.1,121.4,360.2,148.0,121.4,105.7,123.0,74.6,70.9,136.2,127.6,69.0,92.4,86.9,128.6,58.7,59.6,182.8,259.7,43.6,74.6,107.4,61.3,95.7,98.3,103.4,114.7,91.7,,166.7,235.0,73.0,149.3,230.0,98.5,,206.2,79.4,45.5,97.0,,206.2,118.9,140.0,378.4,100.0,286.6,74.4,234.6
2018,53.2,111.8,157.4,59.3,47.2,89.2,167.7,333.2,156.0,164.3,128.7,112.2,123.9,78.0,106.0,184.2,110.3,104.9,80.9,171.4,52.9,89.4,148.4,214.3,64.1,203.4,111.6,87.1,158.5,108.5,109.5,109.1,97.6,638.5,88.9,195.0,59.9,163.4,245.0,160.5,,106.2,88.4,17.6,85.1,,112.5,123.3,147.3,455.7,116.7,215.5,125.6,238.5
2019,,102.2,123.3,59.3,,102.0,181.7,265.5,180.0,85.7,214.8,88.2,119.4,112.2,78.4,110.5,138.6,106.2,79.2,,45.9,112.8,120.3,206.5,112.8,328.8,101.4,41.9,154.6,107.8,129.1,118.9,35.7,469.2,202.2,237.5,55.5,184.2,375.0,136.8,,106.2,131.2,31.8,89.6,,193.8,123.5,236.4,426.1,108.3,301.4,128.2,192.3
2020,68.1,91.5,71.1,72.2,16.7,52.9,152.2,253.1,114.0,57.1,134.4,74.4,95.5,63.4,169.8,135.5,118.6,51.5,38.4,92.3,35.6,106.4,6.2,203.9,184.6,159.3,55.4,171.0,118.8,85.3,90.8,84.7,39.3,453.8,226.7,320.0,34.3,110.4,170.0,82.7,,112.5,84.1,18.2,82.1,,156.2,105.5,209.1,328.4,41.7,128.2,84.6,200.0
2021,68.1,118.7,64.2,85.2,,92.2,187.1,170.4,136.0,50.0,106.6,79.9,,59.2,127.6,101.3,159.3,53.6,36.3,216.5,24.3,83.0,126.6,249.4,289.7,152.5,68.8,,126.1,123.5,97.2,97.7,63.1,615.4,273.3,315.0,37.2,160.2,245.0,82.7,,318.8,60.2,21.9,103.0,,240.6,162.4,218.2,202.3,41.7,186.6,71.8,357.7
2022,51.1,154.2,101.2,37.0,11.1,90.2,277.1,161.5,180.0,114.3,50.8,36.3,113.4,41.1,,65.8,112.4,66.1,51.8,157.1,14.7,70.2,114.1,203.9,187.2,145.8,128.7,32.3,131.4,91.8,81.3,124.9,35.7,738.5,331.1,387.5,19.0,135.8,360.0,89.9,,650.0,81.1,13.3,149.3,,218.8,140.0,258.2,414.8,8.3,223.2,112.8,196.2
2023,87.2,147.7,171.1,35.2,36.1,123.5,393.0,,188.0,128.6,89.3,82.0,167.2,50.6,59.5,75.0,126.9,90.6,45.7,234.1,16.2,200.0,,262.3,312.8,96.6,179.1,,244.0,74.1,61.8,126.2,95.2,784.6,340.0,312.5,63.5,96.2,340.0,91.1,,637.5,143.2,14.3,144.8,,,113.6,309.1,,58.3,229.6,271.8,38.5
2024,2.1,95.9,235.3,,69.4,102.0,392.6,289.8,,178.6,,71.1,220.9,34.1,156.9,,108.3,94.4,32.8,327.5,21.9,300.0,156.2,224.7,246.2,39.0,186.9,125.8,286.0,49.1,66.7,101.3,97.6,592.3,440.0,370.0,35.8,137.4,410.0,111.0,,343.8,152.6,7.7,29.9,,343.8,127.5,194.5,455.7,58.3,189.4,192.3,73.1
