Year,Arnold Police Dept,Ballwin Police Dept,Bel-Ridge Police Dept,Bella Villa Police Dept,Breckenridge Hills Police Dept,Bridgeton Police Dept,Calverton Park Police Dept,Chesterfield Police Dept,Clayton Police Dept,Crestwood Police Dept,Creve Coeur Police Dept,Crystal City Police Dept,Des Peres Police Dept,Edmundson Police Dept,Eureka Police Dept,Farmington Police Dept,Ferguson Police Dept,Festus Police Dept,Florissant Police Dept,Foristell Police Dept,Franklin County Sheriff's Dept,Frontenac Police Dept,Glendale Police Dept,Hazelwood Police Dept,Jefferson County Sheriff's Dept,Kirkwood Police Dept,Lake St Louis Police Dept,Lincoln County Sheriff's Dept,Manchester Police Dept,Maplewood Police Dept,Maryland Heights Police Dept,Normandy Police Dept,Northwoods Police Dept,O'Fallon Police Dept,Olivette Police Dept,Overland Police Dept,Pacific Police Dept,Pagedale Police Dept,Pine Lawn Police Dept,Richmond Heights Police Dept,Rock Hill Police Dept,Shrewsbury Police Dept,St Ann Police Dept,St Charles County Sheriff's Dept,St Charles Police Dept,St John Police Dept,St Louis City Police Dept,St Louis County Police Dept,St Peters Police Dept,Sullivan Police Dept,Sunset Hills Police Dept,Town and Country Police Dept,Troy Police Dept,Union Police Dept,University City Police Dept,Vinita Park Police Dept,Warren County Sheriff's Dept,Warrenton Police Dept,Washington Police Dept,Webster Groves Police Dept,Wentzville Police Dept,Woodson Terrace Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,129.7,120.5,76.5,77.8,83.3,61.2,90.5,79.7,95.3,150.0,73.5,33.3,80.0,63.6,100.0,100.0,45.5,125.0,64.9,83.5,71.9,72.7,158.8,79.8,51.6,99.0,103.3,112.5,86.0,83.7,97.9,136.0,54.5,106.9,136.4,116.5,55.6,66.7,29.6,84.2,112.5,116.7,180.0,,101.9,266.7,122.2,87.1,93.3,75.0,193.8,96.6,130.2,88.0,81.8,60.4,100.0,126.8,81.0,135.7,63.9,86.4
2016,132.4,78.3,52.9,55.6,202.4,81.6,133.3,131.9,55.8,126.9,83.7,126.7,30.0,75.8,136.4,161.1,63.6,206.2,59.5,79.8,117.2,54.5,94.1,83.2,83.9,87.6,70.7,166.7,63.2,65.1,86.4,352.0,63.6,89.9,139.4,60.4,116.7,83.3,,78.9,168.8,86.1,313.3,1.4,98.6,463.3,138.1,80.7,81.5,200.0,181.2,93.1,134.9,132.0,132.7,262.3,95.7,124.4,104.8,146.4,54.6,140.9
2017,143.2,75.9,94.1,88.9,133.3,73.7,71.4,127.5,74.4,50.0,98.0,193.3,50.0,83.3,181.8,77.8,81.8,37.5,94.6,79.8,217.2,100.0,135.3,110.1,138.7,30.9,71.7,133.3,57.9,67.4,76.4,712.0,,100.5,133.3,61.9,116.7,194.4,,42.1,140.6,122.2,216.7,0.7,70.8,476.7,101.3,57.6,52.1,66.7,193.8,94.8,90.7,152.0,145.5,428.3,139.1,82.9,54.0,153.6,55.7,368.2
2018,170.3,80.7,252.9,88.9,,57.9,114.3,173.9,69.8,73.1,130.6,193.3,50.0,43.9,118.2,138.9,63.6,68.8,56.8,54.1,300.0,63.6,111.8,173.9,245.2,52.6,53.3,225.0,52.6,37.2,69.4,160.0,,91.0,115.2,78.4,88.9,138.9,,110.5,75.0,172.2,118.3,,67.9,316.7,139.7,58.0,79.0,83.3,131.2,131.0,116.3,112.0,123.6,258.5,195.7,161.0,39.7,132.1,107.2,336.4
2019,132.4,69.9,94.1,22.2,302.4,42.1,81.0,287.0,79.1,53.8,185.7,93.3,20.0,71.2,172.7,194.4,81.8,56.2,48.6,33.9,215.6,145.5,88.2,195.8,187.1,44.3,46.7,325.0,91.2,81.4,55.0,56.0,27.3,177.8,133.3,97.1,61.1,138.9,,94.7,56.2,116.7,150.0,,81.1,316.7,162.4,50.6,77.3,58.3,193.8,86.2,97.7,44.0,156.4,196.2,547.8,151.2,27.0,128.6,93.8,113.6
2020,75.7,14.5,23.5,22.2,,35.5,19.0,87.0,34.9,7.7,116.3,126.7,40.0,87.9,27.3,211.1,36.4,137.5,16.2,38.5,234.4,36.4,82.4,85.7,51.6,2.1,48.9,150.0,33.3,32.6,53.3,12.0,18.2,319.0,45.5,32.4,61.1,5.6,,26.3,3.1,25.0,53.3,1.4,32.1,60.0,78.2,17.0,38.7,50.0,75.0,10.3,67.4,52.0,229.1,135.8,139.1,90.2,36.5,50.0,88.7,9.1
2021,86.5,18.1,,11.1,,55.9,14.3,88.4,97.7,19.2,69.4,146.7,40.0,80.3,54.5,272.2,,112.5,24.3,40.4,234.4,72.7,76.5,98.3,51.6,2.1,55.4,141.7,77.2,18.6,63.6,16.0,36.4,151.9,36.4,40.3,105.6,5.6,,42.1,3.1,11.1,60.0,1.4,42.9,70.0,116.9,18.5,152.9,75.0,93.8,13.8,67.4,60.0,241.8,226.4,234.8,92.7,46.0,53.6,110.3,9.1
2022,86.5,9.6,,527.8,2.4,41.4,76.2,166.7,179.1,26.9,75.5,113.3,30.0,127.3,27.3,188.9,36.4,200.0,2.7,31.2,259.4,72.7,41.2,64.7,103.2,36.1,98.9,283.3,5.3,46.5,67.4,8.0,63.6,170.9,18.2,33.8,55.6,,9.3,42.1,,11.1,105.0,2.2,34.9,26.7,117.8,26.9,96.6,166.7,231.2,25.9,190.7,84.0,163.6,98.1,317.4,90.2,63.5,42.9,99.0,31.8
2023,164.9,66.3,11.8,700.0,7.1,50.7,114.3,311.6,232.6,57.7,155.1,240.0,100.0,187.9,136.4,,81.8,131.2,24.3,27.5,142.2,172.7,135.3,73.9,51.6,33.0,101.1,262.5,52.6,,143.4,16.0,63.6,193.1,103.0,21.6,127.8,,,157.9,,27.8,275.0,2.9,77.8,3.3,104.6,26.8,115.1,191.7,406.2,43.1,162.8,60.0,258.2,109.4,343.5,48.8,61.9,235.7,171.1,59.1
2024,,131.3,29.4,,21.4,102.0,,495.7,334.9,73.1,287.8,420.0,,,390.9,94.4,136.4,200.0,,46.8,265.6,,147.1,75.6,345.2,95.9,166.3,,105.3,127.9,152.5,4.0,109.1,350.8,221.2,54.7,300.0,83.3,,336.8,46.9,,458.3,1.4,168.9,86.7,122.4,39.3,223.5,175.0,606.2,251.7,,88.0,,,234.8,131.7,39.7,239.3,163.9,
