Year,Anderson Police Dept,Aurora Police Dept,Ava Police Dept,Barry County Sheriff's Dept,Barton County Sheriff's Dept,Battlefield Police Dept,Billings Police Dept,Bolivar Police Dept,Branson Police Dept,Branson West Police Dept,Cabool Police Dept,Carl Junction Police Dept,Carterville Police Dept,Carthage Police Dept,Cassville Police Dept,Cedar County Sheriff's Dept,Christian County Sheriff's Dept,Clinton Police Dept,Dade County Sheriff's Dept,Dallas County Sheriff's Dept,Douglas County Sheriff's Dept,El Dorado Springs Police Dept,Greene County Sheriff's Dept,Greenfield Police Dept,Henry County Sheriff's Dept,Hickory County Sheriff's Dept,Hollister Police Dept,Houston Police Dept,Jasper County Sheriff's Dept,Joplin Police Dept,Kimberling City Police Dept,Laclede County Sheriff's Dept,Lamar Police Dept,Lawrence County Sheriff's Dept,Lebanon Police Dept,Licking Police Dept,Marshfield Police Dept,McDonald County Sheriff's Dept,Monett Police Dept,Mount Vernon Police Dept,Mountain Grove Police Dept,Neosho Police Dept,Nevada Police Dept,Newton County Sheriff's Dept,Nixa Police Dept,Noel Police Dept,Ozark County Sheriff's Dept,Ozark Police Dept,Pineville Police Dept,Polk County Sheriff's Dept,Republic Police Dept,Sarcoxie Police Dept,Seneca Police Dept,Seymour Police Dept,Springfield Police Dept,St Clair County Sheriff's Dept,Stone County Sheriff's Dept,Strafford Police Dept,Taney County Sheriff's Dept,Texas County Sheriff's Dept,Vernon County Sheriff's Dept,Webb City Police Dept,Webster County Sheriff's Dept,Willard Police Dept,Wright County Sheriff's Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,127.2,134.1,102.5,133.1,41.3,90.3,70.7,127.0,68.8,91.7,95.9,92.1,95.3,121.8,97.2,66.3,194.3,134.0,125.6,70.6,58.4,108.3,82.8,77.8,78.0,74.0,144.0,111.4,109.2,64.4,91.5,257.7,127.9,107.6,117.6,89.6,123.3,96.8,84.9,78.9,86.1,198.2,70.5,93.0,106.1,66.7,126.5,104.8,77.4,819.4,121.0,71.2,230.4,118.0,99.9,256.2,102.9,66.2,105.8,77.2,164.9,119.6,79.5,181.6,19.6
2016,144.8,113.4,136.1,120.6,92.6,97.1,61.6,107.6,31.5,119.6,99.7,106.7,85.8,111.1,74.4,59.1,295.7,77.9,197.8,112.9,80.1,150.4,84.4,98.1,83.2,85.6,142.8,149.2,114.5,61.0,140.0,196.9,156.5,105.0,90.5,38.4,168.0,55.5,89.3,91.6,71.3,212.6,104.2,91.1,163.1,32.4,104.1,97.1,119.4,694.3,98.9,26.6,241.1,47.3,101.9,558.1,32.2,42.9,174.8,42.1,151.7,140.8,66.1,121.7,15.2
2017,60.3,103.6,146.1,106.9,92.3,134.4,48.3,113.2,34.9,69.1,124.7,122.3,178.3,91.1,92.2,31.4,405.5,78.4,387.8,203.1,49.8,142.2,78.9,109.7,72.7,116.3,155.5,205.6,110.3,52.8,120.3,1159.8,203.0,343.4,71.5,36.2,177.7,17.0,104.6,79.3,95.6,282.8,93.2,76.3,178.1,73.8,127.6,85.3,95.3,418.4,117.4,111.5,303.9,111.9,96.6,353.7,34.6,41.4,149.1,42.1,150.5,115.3,80.3,177.1,48.9
2018,114.9,110.6,104.7,197.7,197.5,112.8,60.7,65.3,37.3,80.6,134.0,101.0,151.8,116.9,143.4,29.9,445.7,70.0,145.6,220.9,64.5,133.5,68.9,51.9,89.4,528.8,214.2,247.0,104.7,38.2,112.3,1224.7,185.6,94.8,109.1,95.0,257.0,37.6,105.5,78.5,83.0,313.5,138.9,96.1,189.8,171.4,81.6,96.2,89.4,193.0,107.4,354.8,234.1,137.0,108.7,507.1,52.5,39.4,261.8,112.3,112.3,129.3,97.7,153.2,64.7
2019,124.8,30.4,103.5,73.1,94.8,105.4,14.0,64.2,48.8,77.1,140.8,57.5,216.2,94.2,258.1,77.4,376.5,123.7,207.8,198.8,39.5,120.9,70.2,85.0,,266.8,316.7,236.2,86.7,49.0,114.1,,186.8,,97.3,86.9,340.8,109.6,107.7,67.1,128.7,209.1,135.4,102.1,267.8,194.3,170.4,110.8,51.6,246.9,114.6,467.0,379.5,117.2,93.9,333.5,34.5,46.7,220.0,368.4,152.0,128.4,,156.1,86.4
2020,161.1,103.9,60.0,100.6,54.0,75.7,13.2,54.5,36.2,67.6,71.9,78.2,98.0,52.5,133.0,73.9,297.9,100.7,178.1,107.4,29.6,219.6,62.7,77.5,28.2,275.0,195.2,222.4,67.9,41.1,96.4,1093.8,93.5,84.1,38.6,88.3,91.6,65.1,51.6,68.9,98.6,141.7,83.3,176.8,146.0,174.3,127.6,85.4,59.4,109.6,95.3,497.4,546.2,103.8,82.5,442.5,34.0,31.4,138.2,929.8,121.0,104.6,176.8,139.6,37.4
2021,195.4,56.6,74.7,361.7,28.7,83.3,7.8,55.0,28.1,81.7,119.1,43.4,54.8,129.0,112.5,21.8,304.0,118.3,150.7,,126.2,187.8,61.4,71.2,68.8,192.8,281.0,311.2,58.7,32.1,54.8,1107.2,147.9,76.9,44.0,101.5,,56.0,64.1,64.5,108.5,145.9,97.0,143.2,194.1,177.1,849.0,102.7,60.0,148.2,95.0,442.9,558.5,181.3,52.8,198.1,31.5,23.6,227.8,678.9,164.5,80.7,219.4,66.0,107.5
2022,147.6,139.0,112.7,251.4,49.6,104.8,11.0,41.7,41.5,77.3,115.9,68.1,90.9,117.9,97.2,73.4,275.4,96.8,94.1,330.7,139.0,123.9,67.5,49.4,74.7,115.9,100.2,294.9,69.3,36.5,137.1,1937.1,147.2,82.8,67.2,72.0,93.8,214.2,124.6,57.3,120.6,187.4,92.7,128.8,164.9,237.6,917.3,138.9,93.7,98.3,158.1,327.6,462.2,267.2,56.2,181.7,79.9,25.3,259.9,422.8,184.8,74.6,147.5,98.5,174.5
2023,146.8,147.8,91.5,228.0,37.7,159.9,,41.2,57.2,79.5,179.8,44.7,65.1,111.0,64.3,,252.6,149.1,,187.7,159.6,87.0,69.4,61.6,87.2,172.1,141.1,321.7,62.8,56.6,174.2,2168.0,113.8,133.7,108.2,125.0,,182.6,127.6,27.0,111.1,189.8,82.1,187.1,213.9,149.5,980.6,163.5,69.0,98.4,196.2,116.0,504.7,216.3,77.2,173.6,108.2,62.1,308.7,850.9,239.7,177.2,178.8,89.6,422.3
2024,,115.0,117.6,98.9,,242.3,15.7,52.6,73.0,69.9,128.4,24.5,99.7,116.5,187.9,32.8,460.2,101.1,64.8,,103.4,207.8,71.3,71.2,72.3,183.7,153.0,326.6,67.9,43.6,134.7,2252.6,101.0,161.0,67.3,172.8,69.2,,,30.8,145.4,243.6,,181.4,,114.3,796.9,155.0,75.4,,224.2,,463.0,183.4,73.2,231.4,,45.5,332.6,543.9,,222.2,210.6,121.0,312.3
