Year,Arnold Police Dept,Ballwin Police Dept,Bel-Ridge Police Dept,Bella Villa Police Dept,Berkeley Police Dept,Breckenridge Hills Police Dept,Bridgeton Police Dept,Calverton Park Police Dept,Charlack Police Dept,Chesterfield Police Dept,Clayton Police Dept,Country Club Hills Police Dept,Crestwood Police Dept,Creve Coeur Police Dept,Crystal City Police Dept,Des Peres Police Dept,Desloge Police Dept,Edmundson Police Dept,Elsberry Police Dept,Eureka Police Dept,Farmington Police Dept,Ferguson Police Dept,Festus Police Dept,Florissant Police Dept,Foristell Police Dept,Franklin County Sheriff's Dept,Frontenac Police Dept,Glendale Police Dept,Hazelwood Police Dept,Herculaneum Police Dept,Jefferson County Sheriff's Dept,Kinloch Police Dept,Kirkwood Police Dept,Ladue Police Dept,Lake St Louis Police Dept,Lakeshire Police Dept,Lincoln County Sheriff's Dept,Manchester Police Dept,Maplewood Police Dept,Maryland Heights Police Dept,Moline Acres Police Dept,Normandy Police Dept,Northwoods Police Dept,O'Fallon Police Dept,Olivette Police Dept,Overland Police Dept,Pacific Police Dept,Pagedale Police Dept,Park Hills Police Dept,Pine Lawn Police Dept,Potosi Police Dept,Richmond Heights Police Dept,Rock Hill Police Dept,Shrewsbury Police Dept,St Ann Police Dept,St Charles County Sheriff's Dept,St Charles Police Dept,St Francois County Sheriff's Dept,St John Police Dept,St Louis City Police Dept,St Louis County Police Dept,St Peters Police Dept,Sullivan Police Dept,Sunset Hills Police Dept,Sycamore Hills Police Dept,Town and Country Police Dept,Troy Police Dept,Union Police Dept,University City Police Dept,Velda City Police Dept,Vinita Park Police Dept,Warren County Sheriff's Dept,Warrenton Police Dept,Warson Woods Police Dept,Washington County Sheriff's Dept,Washington Police Dept,Webster Groves Police Dept,Wentzville Police Dept,Woodson Terrace Police Dept
2014,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015,115.3,105.8,91.7,67.9,41.9,83.6,75.8,90.9,73.5,76.5,87.0,,110.0,90.2,97.5,60.3,81.7,55.0,109.4,136.8,120.1,16.8,81.2,71.5,79.6,93.6,61.7,100.2,89.6,113.2,89.9,0.5,95.4,63.8,83.0,149.6,92.6,86.8,76.1,111.7,57.7,68.7,49.7,98.2,99.7,98.0,66.0,39.0,120.9,28.7,97.1,62.4,84.2,62.6,71.6,0.1,99.1,146.3,107.5,100.5,85.8,88.3,90.1,119.2,150.0,80.9,131.2,94.5,90.0,223.5,78.6,73.3,110.5,59.5,88.8,94.3,80.8,93.2,68.4
2016,91.5,80.4,101.8,45.7,49.3,84.8,75.6,111.2,,90.6,67.4,7.9,96.2,64.4,108.9,18.7,86.2,45.7,74.0,160.6,120.2,14.4,92.3,68.8,72.1,109.4,43.3,62.3,78.4,84.9,113.4,,83.5,55.3,65.9,137.4,166.1,63.3,56.7,89.9,83.2,73.7,30.7,82.9,103.1,65.4,82.8,68.4,134.1,,137.4,34.2,72.7,64.9,69.9,0.6,72.1,114.9,123.9,100.0,84.1,68.7,123.4,98.6,113.3,72.6,141.9,98.3,97.2,67.6,232.4,97.9,75.5,109.9,63.5,110.1,98.6,92.7,86.2
2017,108.4,91.9,144.6,40.9,4.2,50.4,77.3,68.1,,83.1,65.7,7.9,70.7,47.3,138.4,20.9,84.4,39.9,69.5,176.5,110.7,18.7,47.9,118.4,68.7,151.4,72.2,82.8,89.1,74.1,83.2,,76.7,46.0,61.1,134.8,145.8,66.7,79.9,79.3,45.0,98.7,,88.4,88.0,55.1,71.3,116.5,124.4,,154.6,33.5,74.7,74.5,49.4,0.2,61.3,204.5,88.8,82.7,78.9,50.4,103.3,117.0,105.0,91.3,100.6,97.3,95.3,47.1,277.1,120.7,58.9,75.4,52.2,74.0,89.7,93.0,127.7
2018,103.5,92.5,333.3,41.8,16.3,,59.0,61.2,,108.3,75.3,43.6,82.6,57.0,143.2,32.7,51.3,26.7,30.8,139.8,125.9,26.0,54.1,108.4,65.3,212.9,58.0,68.2,102.4,79.4,127.1,,117.3,44.1,49.3,86.1,172.2,67.1,70.7,75.0,20.9,56.7,,70.2,83.8,60.9,66.6,124.7,90.6,,231.2,48.5,40.4,66.0,29.5,0.2,66.4,253.0,71.2,93.6,91.7,49.1,94.9,100.7,38.3,77.1,99.7,98.9,105.9,85.3,144.5,99.5,100.5,97.6,69.2,39.1,99.8,117.3,161.6
2019,101.0,74.1,161.6,44.1,20.2,59.5,44.1,42.6,,123.8,60.4,21.8,93.1,57.5,88.5,31.3,116.1,26.2,35.3,145.0,148.2,22.6,50.8,101.9,49.9,238.0,52.8,49.3,93.7,92.2,167.5,,92.0,36.0,59.2,107.0,153.9,75.8,105.6,55.5,30.0,43.6,9.8,146.5,87.8,85.0,88.5,124.7,115.8,,247.4,52.7,65.4,66.3,26.4,0.3,60.6,294.8,57.8,99.0,79.0,50.9,84.0,92.3,,57.4,105.6,56.4,94.5,107.4,114.7,135.9,95.7,91.3,46.9,52.6,121.4,132.3,59.9
2020,61.3,49.0,28.6,40.1,14.9,,31.5,19.3,,94.8,41.5,4.0,28.7,39.6,65.3,29.7,81.3,34.9,72.5,74.2,96.5,4.4,51.4,74.4,45.7,207.7,33.6,32.9,61.4,111.0,141.4,,42.2,40.9,41.5,77.4,91.0,38.0,39.2,38.3,20.9,14.2,5.1,163.5,51.6,54.7,47.3,47.6,125.7,,219.6,42.3,35.3,54.8,7.5,0.6,39.3,466.4,26.8,54.0,43.7,27.3,71.9,49.5,,62.6,71.9,25.0,98.1,52.9,58.4,77.3,59.7,46.8,40.2,32.6,43.8,91.9,53.1
2021,70.6,88.1,,15.9,10.0,,49.6,15.5,,95.7,71.2,5.9,67.7,34.3,75.7,27.8,107.7,31.6,,157.6,123.3,,42.0,110.8,47.9,207.9,65.4,29.8,70.1,94.4,137.4,,40.9,43.7,46.6,458.3,82.1,88.4,27.4,45.7,11.8,17.6,9.4,89.9,42.9,67.8,81.1,46.3,156.1,,263.1,67.0,41.0,25.9,8.3,0.5,52.6,1049.3,31.0,80.7,47.6,70.8,109.3,60.0,,79.6,71.5,29.6,103.7,77.9,97.2,130.1,61.7,27.8,79.4,41.1,47.6,114.6,43.8
2022,69.8,84.4,10.5,13.4,14.2,48.2,26.7,19.4,,120.2,62.3,,23.6,35.1,74.0,29.1,73.2,38.9,11.4,303.2,119.5,4.7,68.1,80.3,33.2,159.1,79.7,32.3,48.0,54.5,168.5,,80.8,48.1,58.0,267.0,165.8,70.6,26.0,50.7,,3.8,7.6,90.6,30.8,69.4,84.6,35.1,165.1,2.8,310.3,61.5,18.2,28.8,9.1,0.6,45.7,1200.0,21.6,68.4,61.1,54.2,209.1,83.7,91.7,87.2,130.8,28.9,63.3,39.7,42.0,152.3,53.7,54.4,61.9,58.0,71.8,101.2,42.4
2023,84.1,81.5,39.9,14.8,,43.0,25.2,18.7,,103.8,72.0,,69.5,48.7,102.7,44.5,67.6,37.2,5.8,250.6,,14.0,45.1,80.1,45.5,150.4,59.4,40.9,53.2,152.9,222.5,,86.1,43.0,46.1,264.3,162.2,98.4,,75.0,0.9,13.6,4.5,90.9,48.1,54.4,95.2,70.6,162.8,,275.9,58.0,12.1,37.3,19.3,0.8,50.4,1616.4,26.5,56.7,63.7,50.6,228.6,94.4,,78.7,97.5,32.7,80.8,42.6,27.7,154.2,33.1,44.8,68.8,73.7,66.4,102.7,57.1
2024,,87.3,49.6,,14.7,53.1,44.9,,,112.8,71.9,2.0,64.3,40.3,114.8,,75.8,29.3,,251.7,92.6,16.2,67.5,,39.5,191.4,,32.2,43.4,166.8,178.9,,81.8,59.7,66.8,211.3,,82.8,39.2,75.5,,11.3,8.7,92.2,42.6,42.7,127.5,89.6,162.1,,304.5,66.7,24.7,,21.2,0.5,56.9,1961.2,12.3,50.1,52.7,80.3,193.7,90.4,51.7,83.7,,31.0,,,,91.1,47.4,34.5,65.2,66.1,47.2,84.7,
