slug,department,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
disparity-index-by-race--stops--resident-stops,Callaway County Sheriff's Dept,1260,1138,100,16,0,0,6,2022,0
rates--rates--stop-rate,Sunrise Beach Police Dept,158.84,168.1,266.67,52,100,75,3.7,2022,0
search--arrest-charge--other,Callaway County Sheriff's Dept,16,13,3,0,0,0,0,2022,0
stops--stop-outcome--searches,Callaway County Sheriff's Dept,413,348,60,4,0,0,1,2022,0
stops--location-of-stop--city-street,Callaway County Sheriff's Dept,410,347,57,4,0,0,2,2022,0
stops--driver-age--30-39,Callaway County Sheriff's Dept,516,441,62,10,0,1,2,2022,0
search--arrest-charge--traffic-violation,Callaway County Sheriff's Dept,128,101,25,2,0,0,0,2022,0
search--probable-cause--other,Callaway County Sheriff's Dept,8,7,1,0,0,0,0,2022,0
disparity-index-by-race--disparity-index--resident-stops-dec,Foristell Police Dept,,1.025,5.405,0,0,0,0,2022,0
rates--stop-rate-residents--contraband-hit-rate,Missouri Dept of Conservation Protection Branch,37.04,35.43,,33.33,,80,,2022,0
search--contraband-found--drugs-alcohol,Callaway County Sheriff's Dept,110,89,20,1,0,0,0,2022,0
stops--driver-age--18-29,Callaway County Sheriff's Dept,757,620,115,13,1,2,6,2022,0
rates--stop-rate-residents--arrest-rate,Missouri Dept of Conservation Protection Branch,3.9,3.57,9.52,10,0,0,0,2022,0
disparity-index-by-race--population--2020-decennial-pop-pct,Callaway County Sheriff's Dept,100,88.44,4.42,1.8,0.34,0.52,4.49,2022,0
stops--reason-for-stop--license,Callaway County Sheriff's Dept,858,739,99,9,1,1,9,2022,0
stops--location-of-stop--county-road,Callaway County Sheriff's Dept,310,293,11,4,1,0,1,2022,0
stops--location-of-stop--state-hwy,Callaway County Sheriff's Dept,724,632,76,11,0,1,4,2022,0
stops--driver-gender--male,Callaway County Sheriff's Dept,1328,1119,169,23,1,5,11,2022,0
disparity-index-by-race--resident-stops-acs--resident-stops-dec,Merriam Woods Police Dept,,1.131,6.516,0,0,2.172,0.081,2022,0
disparity-index-by-race--population--2021-acs-pop-pct,Callaway County Sheriff's Dept,100,91.56,4.18,1.86,0.63,0.53,3.1,2022,0
search--arrest-charge--resist-arrest,Callaway County Sheriff's Dept,20,17,3,0,0,0,0,2022,0
search--contraband-found--currency,Callaway County Sheriff's Dept,0,0,0,0,0,0,0,2022,0
rates--totals--contraband,Callaway County Sheriff's Dept,115,92,21,2,0,0,0,2022,0
rates--rates--stop-rate-residents,Sunrise Beach Police Dept,3.31,3.68,0,0,0,0,0,2022,0
search--what-searched--driver-property,Callaway County Sheriff's Dept,293,243,46,3,0,0,1,2022,0
search--what-searched--car-property,Callaway County Sheriff's Dept,24,21,3,0,0,0,0,2022,0
rates--rates--search-rate,Sunrise Beach Police Dept,1.39,1.46,0,0,0,0,0,2022,0
disparity-index-by-race--population--2021-acs-pop,Callaway County Sheriff's Dept,36172,33119,1513,674,229,191,1120,2022,0
search--search-duration--31-minutes,Callaway County Sheriff's Dept,0,0,0,0,0,0,0,2022,0
search--arrest-charge--drug-violation,Callaway County Sheriff's Dept,86,68,18,0,0,0,0,2022,0
stops--reason-for-stop--investigative,Callaway County Sheriff's Dept,97,81,12,3,0,1,0,2022,0
search--arrest-charge--drug-violation,Cassville Police Dept,7,6,0,1,0,0,0,2020,0
rates--rates--arrest-rate,Olivette Police Dept,2.11,1.62,2.88,0,0,0,1.33,2020,0
search--arrest-charge--property-offense,Qulin Police Dept,0,0,0,0,0,0,0,2020,0
search--what-searched--driver,Crane Police Dept,55,55,0,0,0,0,0,2020,0
rates--rates--arrest-rate,Adair County Sheriff's Dept,0,0,0,0,,0,,2020,0
stops--driver-age--40-and-over,Savannah Police Dept,174,172,1,0,1,0,0,2020,0
search--contraband-found--drugs-alcohol,Dixon Police Dept,37,36,1,0,0,0,0,2020,0
search--what-searched--driver,Perry Police Dept,1,1,0,0,0,0,0,2020,0
stops--location-of-stop--interstate-hwy,Jasper Police Dept,40,40,0,0,0,0,0,2020,0
stops--location-of-stop--county-road,Troy Police Dept,13,13,0,0,0,0,0,2020,0
search--arrest-charge--dwi-bac,SE MO State University-Dept of Public Safety,0,0,0,0,0,0,0,2020,0
search--probable-cause--inventory,Missouri Dept of Conservation Protection Branch,3,3,0,0,0,0,0,2020,0
stops--stop-outcome--searches,New Haven Police Dept,61,55,4,2,0,0,0,2020,0
stops--driver-gender--male,Byrnes Mill Police Dept,506,430,15,2,0,0,59,2020,0
search--search-duration--0-15-minutes,Bridgeton Police Dept,123,53,67,3,0,0,0,2020,0
search--what-searched--car-property,Boone County Sheriff's Dept,118,69,46,3,0,0,0,2020,0
rates--totals--citations,Herculaneum Police Dept,683,635,41,5,0,1,1,2020,0
stops--reason-for-stop--investigative,Louisiana Police Dept,7,6,0,1,0,0,0,2020,0
search--what-searched--driver-property,Pineville Police Dept,32,28,1,3,0,0,0,2020,0
stops-all-stops,Sullivan Police Dept,606,590,7,6,0,1,2,2020,0
rates--rates--search-rate,Marceline Police Dept,2.46,2.37,9.09,0,,,0,2020,0
stops--driver-age--18-29,Bellefontaine Neighbors Police Dept,425,19,400,0,1,0,5,2020,0
search--arrest-charge--dwi-bac,Seneca Police Dept,33,30,2,1,0,0,0,2020,0
stops--stop-outcome--contraband,Concordia Police Dept,6,6,0,0,0,0,0,2020,0
rates--totals--resident-stops,Bridgeton Police Dept,228,130,78,14,0,1,5,2020,0
stops-all-stops,Arnold Police Dept,4396,4013,318,28,8,29,0,2020,0
rates--population--2019-population,Marshfield Police Dept,5314,4885,79,46,92,9,215,2020,0
disparity-index-by-race--disparity-index--all-stops,Joplin Police Dept,,1.044,2.387,0.573,0.147,0.251,0.02,2020,0
rates--rates--stop-rate-residents,Steelville Police Dept,2.51,2.73,0,0,,0,0,2020,0
stops--driver-age--40-and-over,Liberty Police Dept,822,733,52,10,1,7,19,2020,0
stops--driver-age--18-29,Dade County Sheriff's Dept,106,104,1,1,0,0,0,2020,0
rates--contraband-hit-rate--arrest-rate,Oregon Police Dept,0,0,,,,,,2020,0
search--probable-cause--drug-dog-alert,Henrietta Police Dept,0,0,0,0,0,0,0,2020,0
search--arrest-charge--other,Battlefield Police Dept,1,0,1,0,0,0,0,2020,0
search--arrest-charge--resist-arrest,Oregon Police Dept,0,0,0,0,0,0,0,2020,0
stops--driver-age--40-and-over,St Charles Police Dept,2267,1713,447,21,5,14,67,2020,0
rates--contraband-hit-rate--citation-rate,Braymer Police Dept,13.33,13.33,,,,,,2020,0
stops--stop-outcome--contraband,Pleasant Valley Police Dept,49,35,13,0,0,0,1,2020,0
search--probable-cause--plain-view-contra,Nixa Police Dept,14,14,0,0,0,0,0,2020,0
search--arrest-charge--off-against-person,Farmington Police Dept,1,1,0,0,0,0,0,2020,0
search--search-duration--16-30-minutes,Linn Police Dept,0,0,0,0,0,0,0,2020,0
rates--population--2019-population,Missouri Southern State University,,,,,,,,2020,0
search--contraband-found--stolen-property,Braymer Police Dept,0,0,0,0,0,0,0,2020,0
stops-non-resident-stops,Gower Police Dept,462,421,11,21,0,7,2,2020,0
stops-resident-stops,Arbyrd Police Dept,21,18,0,3,0,0,0,2020,0
search--probable-cause--incident-to-arrest,Ralls County Sheriff's Dept,16,13,3,0,0,0,0,2020,0
search--probable-cause--drug-dog-alert,Oronogo Police Dept,0,0,0,0,0,0,0,2020,0
stops--reason-for-stop--equpiment,Morley Police Dept,8,7,0,1,0,0,0,2020,0
stops--location-of-stop--interstate-hwy,Lexington Police Dept,0,0,0,0,0,0,0,2020,0
search--contraband-found--currency,Buckner Police Dept,0,0,0,0,0,0,0,2020,0
stops--stop-outcome--arrests,Washington Police Dept,92,87,3,2,0,0,0,2020,0
search--probable-cause--plain-view-contra,Thayer Police Dept,2,2,0,0,0,0,0,2020,0
search--what-searched--driver-property,Duenweg Police Dept,13,11,2,0,0,0,0,2020,0
stops--stop-outcome--searches,Moline Acres Police Dept,0,0,0,0,0,0,0,2020,0
search--arrest-charge--dwi-bac,Kingsville Police Dept,0,0,0,0,0,0,0,2020,0
stops--location-of-stop--county-road,Cardwell Police Dept,0,0,0,0,0,0,0,2020,0
stops--stop-outcome--searches,Indian Point Police Dept,12,12,0,0,0,0,0,2020,0
disparity-index-by-race--stops--all-stops,New Madrid County Sheriff's Dept,116,71,39,6,0,0,0,2020,0
stops--reason-for-stop--license,Liberty Police Dept,746,629,77,14,0,1,25,2020,0
search--arrest-charge--traffic-violation,Caruthersville Police Dept,0,0,0,0,0,0,0,2020,0
stops--driver-age--18-29,Hazelwood Police Dept,4965,1193,3607,44,2,22,97,2020,0
search--arrest-charge--resist-arrest,Centralia Police Dept,0,0,0,0,0,0,0,2020,0
rates--rates--search-rate,Warrenton Police Dept,9.46,8.55,18.24,13.51,33.33,,15.38,2020,0
stops--stop-outcome--searches,Texas County Sheriff's Dept,76,76,0,0,0,0,0,2020,0
stops--stop-outcome--no-action,Country Club Village Police Dept,3,3,0,0,0,0,0,2020,0
rates--stop-rate-residents--search-rate,University of Missouri-Columbia Police Dept,9.38,8.44,13.59,18.42,0,2.8,4.08,2020,0
rates--totals--contraband,Independence Police Dept,351,283,52,14,0,1,1,2020,0
search--probable-cause--plain-view-contra,Sugar Creek Police Dept,8,7,1,0,0,0,0,2020,0
search--arrest-charge--off-against-person,Henrietta Police Dept,0,0,0,0,0,0,0,2020,0
rates--totals--all-stops,Brookfield Police Dept,1672,1556,75,30,0,7,4,2020,0
rates--contraband-hit-rate--citation-rate,Bertrand Police Dept,17.92,19.59,15.29,16.67,,0,,2020,0
stops--location-of-stop--other,Stone County Sheriff's Dept,9,8,1,0,0,0,0,2020,0
stops--location-of-stop--us-hwy,St Ann Police Dept,23,8,10,2,1,1,1,2021,0
search--what-searched--driver,Bernie Police Dept,0,0,0,0,0,0,0,2021,0
search--contraband-found--stolen-property,Smithton Police Dept,0,0,0,0,0,0,0,2021,0
search--what-searched--driver,St Ann Police Dept,17,6,11,0,0,0,0,2021,0
search--search-duration--31-minutes,Anderson Police Dept,1,1,0,0,0,0,0,2021,0
search--arrest-charge--other,Pleasant Hope Police Dept,0,0,0,0,0,0,0,2021,0
search--arrest-charge--other,Poplar Bluff Police Dept,25,20,5,0,0,0,0,2021,0
disparity-index-by-race--population--2020-population,Texas County Sheriff's Dept,20806,18709,507,457,205,449,607,2021,0
search--arrest-charge--other,Iberia Police Dept,0,0,0,0,0,0,0,2021,0
stops--location-of-stop--state-hwy,Jackson Police Dept,933,822,71,7,23,5,5,2021,0
search--arrest-charge--off-against-person,Milan Police Dept,0,0,0,0,0,0,0,2021,0
search--what-searched--driver,Osceola Police Dept,0,0,0,0,0,0,0,2021,0
search--contraband-found--stolen-property,Wright County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
stops--stop-outcome--no-action,Pettis County Sheriff's Dept,88,77,4,5,0,2,0,2021,0
disparity-index-by-race--disparity-index--resident-stops,Stoddard County Sheriff's Dept,,1.013,0.986,1.393,,0,0,2021,0
search--contraband-found--other,Iberia Police Dept,0,0,0,0,0,0,0,2021,0
stops--stop-outcome--no-action,Texas County Sheriff's Dept,2,2,0,0,0,0,0,2021,0
search--contraband-found--other,Ellisville Police Dept,0,0,0,0,0,0,0,2021,0
rates--rates--citation-rate,Chaffee Police Dept,38.46,38.78,50,0,,,,2021,0
stops--reason-for-stop--investigative,Center Police Dept,1,0,1,0,0,0,0,2021,0
rates--rates--arrest-rate,New Bloomfield Police Dept,2.44,2.7,0,0,,,0,2021,0
stops--stop-outcome--no-action,Gladstone Dept of Public Safety,159,116,32,7,2,0,2,2021,0
rates--rates--citation-rate,Owensville Police Dept,16.04,16.6,0,,,,,2021,0
search--contraband-found--drugs-alcohol,Neosho Police Dept,31,28,0,1,0,2,0,2021,0
stops--stop-outcome--citation,Memphis Police Dept,4,4,0,0,0,0,0,2021,0
stops--location-of-stop--state-hwy,Wheaton Police Dept,13,11,0,1,0,1,0,2021,0
rates--totals--contraband,Shrewsbury Police Dept,6,4,2,0,0,0,0,2021,0
rates--totals--resident-stops,Mountain Grove Police Dept,380,366,6,3,0,3,2,2021,0
stops-resident-stops,Cardwell Police Dept,21,17,1,3,0,0,0,2021,0
stops--location-of-stop--county-road,St James Police Dept,6,5,1,0,0,0,0,2021,0
stops--reason-for-stop--equpiment,St Joseph Police Dept,2711,2222,325,114,11,29,10,2021,0
search--what-searched--driver,Moberly Police Dept,39,37,1,0,0,0,1,2021,0
disparity-index-by-race--population--2020-population,Cleveland Police Dept,658,625,0,22,3,0,26,2021,0
rates--totals--contraband,Marionville Police Dept,1,1,0,0,0,0,0,2021,0
stops--driver-age--17-and-under,St Joseph Police Dept,354,298,36,14,2,3,1,2021,0
stops--reason-for-stop--investigative,Barry County Sheriff's Dept,14,14,0,0,0,0,0,2021,0
stops--stop-outcome--no-action,Wright County Sheriff's Dept,6,6,0,0,0,0,0,2021,0
stops--stop-outcome--citation,Oran Police Dept,0,0,0,0,0,0,0,2021,0
rates--totals--contraband,Sunrise Beach Police Dept,7,7,0,0,0,0,0,2021,0
stops--stop-outcome--warning,Palmyra Police Dept,1122,1006,76,21,3,7,9,2021,0
stops--stop-outcome--arrests,Odessa Police Dept,440,419,16,5,0,0,0,2021,0
rates--totals--resident-stops,Duenweg Police Dept,28,23,3,2,0,0,0,2021,0
stops--reason-for-stop--moving,Eureka Police Dept,1156,1018,62,4,0,8,64,2021,0
stops--reason-for-stop--moving,Hartville Police Dept,90,90,0,0,0,0,0,2021,0
search--probable-cause--inventory,Reynolds County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
search--contraband-found--currency,Douglas County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
rates--contraband-hit-rate--arrest-rate,Gasconade Police Dept,0,0,,,,,,2021,0
search--search-duration--16-30-minutes,Linn Police Dept,0,0,0,0,0,0,0,2021,0
search--search-duration--31-minutes,Morgan County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
search--arrest-charge--resist-arrest,Reynolds County Sheriff's Dept,0,0,0,0,0,0,0,2021,0
stops--location-of-stop--city-street,Billings Police Dept,13,13,0,0,0,0,0,2021,0
rates--totals--citations,Washington County Sheriff's Dept,75,71,4,0,0,0,0,2021,0
stops--location-of-stop--city-street,Dade County Sheriff's Dept,158,153,0,3,1,0,1,2021,0
search--arrest-charge--drug-violation,Missouri Univ SandT Police Dept,1,1,0,0,0,0,0,2021,0
disparity-index-by-race--stops--resident-stops,Country Club Village Police Dept,46,46,0,0,0,0,0,2021,0
search--what-searched--driver,Shrewsbury Police Dept,1,1,0,0,0,0,0,2021,0
search--probable-cause--incident-to-arrest,Edina Police Dept,0,0,0,0,0,0,0,2021,0
disparity-index-by-race--stops--all-stops,St Ann Police Dept,1661,528,1072,36,7,12,6,2021,0
stops--driver-gender--female,Lawrence County Sheriff's Dept,456,411,8,27,0,7,3,2021,0
stops--location-of-stop--us-hwy,Parkville Police Dept,0,0,0,0,0,0,0,2021,0
stops--stop-outcome--no-action,Grundy County Sheriff's Dept,3,3,0,0,0,0,0,2021,0
search--arrest-charge--drug-violation,Cuba Police Dept,28,17,3,2,2,2,2,2021,0
stops-all-stops,Wentzville Police Dept,8217,6850,1100,107,5,50,105,2021,0
search--probable-cause--consent,Martinsburg Police Dept,0,0,0,0,0,0,0,2021,0
stops--driver-gender--female,Poplar Bluff Police Dept,1101,985,107,5,0,2,2,2021,0
stops--driver-gender--male,Jamestown Police Dept,45,39,2,1,1,2,0,2021,0
disparity-index-by-race--population--2020-population-pct,Carterville Police Dept,100,88.35,1.03,5.73,0.12,1.45,3.92,2021,0
search--arrest-charge--traffic-violation,Qulin Police Dept,0,0,0,0,0,0,0,2021,0
search--probable-cause--other,Riverview Police Dept,1,0,1,0,0,0,0,2021,0
rates--totals--contraband,Manchester Police Dept,158,100,51,2,0,0,5,2021,0
rates--totals--searches,Manchester Police Dept,289,186,91,5,0,2,5,2021,0
stops--driver-age--30-39,Washburn Police Dept,0,0,0,0,0,0,0,2021,0
rates--totals--contraband,Kahoka Police Dept,4,4,0,0,0,0,0,2022,0
rates--totals--all-stops,Jefferson College Police Dept,6,6,0,0,0,0,0,2022,0
rates--population--2020-decennial-pop,Licking Police Dept,2506,1702,684,64,17,2,37,2022,0
disparity-index-by-race--disparity-index--resident-stops-acs,Bourbon-Dept of Public Safety,,1.063,,0.144,0,0.249,0,2022,0
disparity-index-by-race--population--2020-decennial-pop-pct,Chariton County Sheriff's Dept,100,94.17,2.12,0.87,0.26,0.05,2.52,2022,0
stops--stop-outcome--contraband,Fordland Police Dept,0,0,0,0,0,0,0,2022,0
search--probable-cause--other,Pleasant Hill Police Dept,4,4,0,0,0,0,0,2022,0
disparity-index-by-race--disparity-index--all-stops-acs,Cole Camp Police Dept,,0.968,,1.413,5.651,,1.413,2022,0
rates--population--2020-decennial-pop-pct,Washington University Police Dept,,,,,,,,2022,0
stops--stop-outcome--contraband,Kahoka Police Dept,4,4,0,0,0,0,0,2022,0
search--contraband-found--currency,Ellsinore Police Dept,0,0,0,0,0,0,0,2022,0
search--probable-cause--consent,Warrenton Police Dept,88,75,10,2,0,0,1,2022,0
stops--stop-outcome--searches,Marceline Police Dept,1,1,0,0,0,0,0,2022,0
search--contraband-found--other,Macon Police Dept,0,0,0,0,0,0,0,2022,0
search--arrest-charge--other,Mexico Police Dept,5,4,1,0,0,0,0,2022,0
search--what-searched--driver-property,Kennett Police Dept,170,83,54,33,0,0,0,2022,0
search--probable-cause--incident-to-arrest,New Haven Police Dept,3,3,0,0,0,0,0,2022,0
rates--population--2021-acs-pop-pct,Cole Camp Police Dept,100,99.54,0,0.37,0.09,0,0.37,2022,0
stops--driver-age--17-and-under,Pevely Police Dept,33,31,2,0,0,0,0,2022,0
disparity-index-by-race--population--2021-acs-pop,Hazelwood Police Dept,20391,10329,8234,795,0,562,1266,2022,0
disparity-index-by-race--disparity-index--all-stops-acs,Osage Beach Police Dept,,1.021,1.399,0.1,0.057,,0.014,2022,0
stops--location-of-stop--county-road,Van Buren Police Dept,0,0,0,0,0,0,0,2022,0
search--probable-cause--drug-alcohol-odor,Warrenton Police Dept,31,27,4,0,0,0,0,2022,0
rates--totals--arrests,Morgan County Sheriff's Dept,30,30,0,0,0,0,0,2022,0
search--probable-cause--drug-alcohol-odor,Parkville Police Dept,40,25,9,5,0,0,1,2022,0
search--arrest-charge--dwi-bac,Beverly Hills Police Dept,1,0,1,0,0,0,0,2022,0
stops--driver-age--65-and-over,Wood Heights Police Dept,0,0,0,0,0,0,0,2022,0
rates--rates--search-rate,Duenweg Police Dept,5.09,4.86,0,20,,0,0,2022,0
search--search-duration--31-minutes,Odessa Police Dept,46,45,1,0,0,0,0,2022,0
stops--stop-outcome--no-action,Qulin Police Dept,1,1,0,0,0,0,0,2022,0
search--contraband-found--stolen-property,Butterfield Police Dept,0,0,0,0,0,0,0,2022,0
stops--driver-age--65-and-over,Ozark County Sheriff's Dept,89,88,0,0,0,0,1,2022,0
search--arrest-charge--traffic-violation,Howardville Police Dept,0,0,0,0,0,0,0,2022,0
disparity-index-by-race--disparity-index--resident-stops-dec,Putnam County Sheriff's Dept,,1.036,0,0.601,0,,0,2022,0
disparity-index-by-race--stops--resident-stops,Sycamore Hills Police Dept,17,10,7,0,0,0,0,2022,0
stops--location-of-stop--county-road,Steelville Police Dept,1,1,0,0,0,0,0,2022,0
search--arrest-charge--traffic-violation,Lexington Police Dept,12,12,0,0,0,0,0,2022,0
stops--driver-gender--female,Waynesville Police Dept,1485,1151,198,57,2,35,42,2022,0
rates--totals--arrests,Fayette Police Dept,7,4,2,1,0,0,0,2022,0
rates--totals--arrests,Hillsboro Police Dept,36,31,4,0,0,0,1,2022,0
stops--stop-outcome--no-action,Tipton Police Dept,12,11,1,0,0,0,0,2022,0
rates--totals--contraband,Bismarck Police Dept,43,41,2,0,0,0,0,2022,0
search--probable-cause--inventory,Kirksville Police Dept,2,2,0,0,0,0,0,2022,0
rates--rates--stop-rate,Arcadia Police Dept,7.33,7.49,0,,,,0,2022,0
stops--driver-age--30-39,Daviess County Sheriff's Dept,172,144,16,8,1,2,1,2022,0
search--contraband-found--weapon,Missouri Dept Natural Resources-Park Rangers,2,2,0,0,0,0,0,2022,0
stops--location-of-stop--county-road,Salem Police Dept,1,1,0,0,0,0,0,2022,0
search--probable-cause--incident-to-arrest,Anderson Police Dept,51,34,2,7,1,4,3,2022,0
rates--population--2020-decennial-pop-pct,Grain Valley Police Dept,100,85.22,2.7,5.42,0.44,0.89,5.33,2022,0
stops-all-stops,St Louis County Police Dept,39241,24684,12388,231,29,400,1509,2022,0
search--contraband-found--stolen-property,Butler Police Dept,1,1,0,0,0,0,0,2022,0
search--probable-cause--drug-alcohol-odor,St Charles County Police Dept,98,47,47,2,0,0,2,2022,0
rates--rates--stop-rate-residents,Phelps County Sheriff's Dept,5.28,5.47,11.65,1.36,1.73,0.94,1.71,2022,0
search--probable-cause--plain-view-contra,Perry Police Dept,0,0,0,0,0,0,0,2022,0
search--probable-cause--inventory,Kansas City Int'l Airport Police,0,0,0,0,0,0,0,2022,0
rates--population--2020-decennial-pop-pct,Hickory County Sheriff's Dept,100,93.17,0.14,1.26,0.61,0.22,4.61,2022,0
search--probable-cause--plain-view-contra,Summersville Police Dept,0,0,0,0,0,0,0,2022,0
stops--location-of-stop--us-hwy,Fleming Police Dept,0,0,0,0,0,0,0,2022,0
stops--stop-outcome--searches,Audrain County Sheriff's Dept,171,145,22,4,0,0,0,2022,0
rates--rates--stop-rate-residents,Richmond Heights Police Dept,2.73,2.46,5.97,0.71,,2.12,0.76,2022,0
stops--driver-age--65-and-over,Bates County Sheriff's Dept,17,17,0,0,0,0,0,2022,0
rates--population--2021-acs-pop,Barry County Sheriff's Dept,27662,23992,88,2148,337,424,2821,2022,0
disparity-index-by-race--population--2020-decennial-pop,Osage Beach Police Dept,3949,3420,67,246,13,54,149,2022,0
stops--stop-outcome--citation,Neosho Police Dept,1127,947,29,110,5,36,0,2023,0
stops--citation-warning-violation--moving,Ste Genevieve Police Dept,541,496,31,4,4,3,3,2023,0
search--probable-cause--inventory,Pike County Sheriff's Dept,6,4,2,0,,0,0,2023,0
stops--officer-assignment--dedicated-traffic,Jefferson County Sheriff's Dept,10192,9756,324,2,11,42,57,2023,0
stops--location-of-stop--interstate-hwy,Lincoln County Sheriff's Dept,63,51,8,3,0,0,1,2023,0
rates--rates--search-rate,Richmond Police Dept,11.27,10.84,15.46,10,25,12.5,15.38,2023,0
